Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,06/15/19,Bangalore,New Delhi,BLR ? DEL,6:05,8:50,2h 45m,1,No info,4423
SpiceJet,05/06/19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No check-in baggage included,3543
IndiGo,04/12/19,Kolkata,Bangalore,CCU ? BLR,21:25,13-04-21 0:05,2h 40m,1,No info,4174
Jet Airways,04/12/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,No info,7229
Air India,06/18/19,New Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,1,No info,5201
IndiGo,06/21/19,Chennai,Kolkata,MAA ? CCU,11:35,14:00,2h 25m,1,No info,3858
SpiceJet,05/01/19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,1,No check-in baggage included,3543
IndiGo,05/27/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,1,No info,4823
Jet Airways,06/21/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,In-flight meal not included,5769
Air Asia,06/09/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,1,No info,8420
Jet Airways,05/06/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,In-flight meal not included,4030
SpiceJet,06/21/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No info,3873
IndiGo,06/09/19,Kolkata,Bangalore,CCU ? BLR,15:15,17:45,2h 30m,1,No info,5224
IndiGo,03/03/19,Kolkata,Bangalore,CCU ? BLR,5:30,8:20,2h 50m,1,No info,4778
Air India,03/18/19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,5674
Jet Airways,05/03/19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,No info,7229
IndiGo,06/01/19,Mumbai,Hyderabad,BOM ? HYD,12:00,13:30,1h 30m,1,No info,2754
SpiceJet,05/21/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No check-in baggage included,3841
IndiGo,03/24/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,1,No info,6144
Jet Airways,04/24/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,In-flight meal not included,4544
Air India,06/12/19,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,1,No info,3100
Vistara,06/12/19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,1,No info,4668
IndiGo,05/18/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,1,No info,4823
IndiGo,04/12/19,Kolkata,Bangalore,CCU ? BLR,15:15,17:45,2h 30m,1,No info,4174
SpiceJet,04/12/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No info,4423
SpiceJet,06/12/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:30,2h 35m,1,No info,3873
Air India,05/21/19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4667
IndiGo,05/24/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4804
IndiGo,03/06/19,New Delhi,Cochin,DEL ? COK,14:30,17:35,3h 5m,1,No info,7673
SpiceJet,05/06/19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,1,No info,3971
IndiGo,05/12/19,Bangalore,New Delhi,BLR ? DEL,8:30,11:20,2h 50m,1,No info,5740
SpiceJet,06/15/19,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,1,No check-in baggage included,1965
IndiGo,04/06/19,Kolkata,Bangalore,CCU ? BLR,9:35,12:20,2h 45m,1,No info,4174
Air India,03/15/19,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,1,No info,3100
Air India,06/09/19,New Delhi,Cochin,DEL ? COK,14:10,17:10,3h,1,No info,6094
IndiGo,06/09/19,Bangalore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,1,No info,4423
Vistara,04/03/19,Bangalore,New Delhi,BLR ? DEL,11:30,14:20,2h 50m,1,No info,5403
SpiceJet,04/01/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No check-in baggage included,3841
Jet Airways,04/24/19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,No info,7229
IndiGo,05/27/19,Bangalore,New Delhi,BLR ? DEL,16:55,19:55,3h,1,No info,4823
Air India,03/27/19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,4729
Jet Airways,06/18/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:20,1h 25m,1,No info,5678
SpiceJet,05/18/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No info,4491
Jet Airways,05/12/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,No info,7229
IndiGo,04/15/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,1,No info,4823
IndiGo,05/12/19,Bangalore,New Delhi,BLR ? DEL,23:30,13-05-21 2:20,2h 50m,1,No info,4591
SpiceJet,06/12/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No info,3873
Air India,06/21/19,Kolkata,Bangalore,CCU ? BLR,14:15,16:45,2h 30m,1,No info,5510
Air India,05/01/19,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,1,No info,3625
IndiGo,03/03/19,Bangalore,New Delhi,BLR ? DEL,8:30,11:30,3h,1,No info,6860
Vistara,04/27/19,Bangalore,New Delhi,BLR ? DEL,19:30,22:15,2h 45m,1,No info,5613
Jet Airways,05/21/19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,In-flight meal not included,4030
IndiGo,03/06/19,Kolkata,Bangalore,CCU ? BLR,22:10,07/03/21 0:55,2h 45m,1,No info,4778
Vistara,05/09/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
SpiceJet,03/21/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:30,2h 30m,1,No check-in baggage included,3815
SpiceJet,06/21/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No check-in baggage included,3841
Air India,03/09/19,Bangalore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,1,No info,8851
Air Asia,06/24/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,1,No info,4282
Vistara,06/18/19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,4668
IndiGo,04/18/19,Kolkata,Bangalore,CCU ? BLR,4:40,7:15,2h 35m,1,No info,4174
IndiGo,06/27/19,Mumbai,Hyderabad,BOM ? HYD,20:05,21:40,1h 35m,1,No info,2227
Air India,03/06/19,New Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,1,No info,7931
IndiGo,06/12/19,Chennai,Kolkata,MAA ? CCU,22:05,13-06-21 0:25,2h 20m,1,No info,5277
SpiceJet,05/27/19,Mumbai,Hyderabad,BOM ? HYD,22:45,28-05-21 0:15,1h 30m,1,No info,2017
Jet Airways,03/24/19,Bangalore,New Delhi,BLR ? DEL,19:55,22:35,2h 40m,1,No info,8016
IndiGo,06/12/19,Bangalore,New Delhi,BLR ? DEL,8:30,11:20,2h 50m,1,No info,4823
Air India,05/21/19,Kolkata,Bangalore,CCU ? BLR,14:15,16:45,2h 30m,1,No info,5510
Air India,03/18/19,Mumbai,Hyderabad,BOM ? HYD,6:20,7:40,1h 20m,1,No info,3100
Air India,06/18/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:50,2h 50m,1,No info,6961
IndiGo,04/21/19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,1,No info,4591
Air India,04/06/19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,4729
IndiGo,04/03/19,New Delhi,Cochin,DEL ? COK,14:20,17:35,3h 15m,1,No info,4729
SpiceJet,06/09/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No check-in baggage included,3841
IndiGo,06/27/19,Mumbai,Hyderabad,BOM ? HYD,2:35,4:05,1h 30m,1,No info,2754
Vistara,04/15/19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,1,No info,5403
Air Asia,06/03/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,1,No info,4282
IndiGo,03/21/19,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,1,No info,3384
IndiGo,05/06/19,Bangalore,New Delhi,BLR ? DEL,18:55,21:50,2h 55m,1,No info,4823
IndiGo,06/15/19,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,1,No info,3597
IndiGo,03/21/19,Chennai,Kolkata,MAA ? CCU,13:20,15:35,2h 15m,1,No info,3384
IndiGo,06/09/19,Bangalore,New Delhi,BLR ? DEL,23:30,10/06/21 2:20,2h 50m,1,No info,4591
Air India,06/09/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:45,2h 45m,1,No info,7171
IndiGo,04/27/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4804
Vistara,03/15/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,6627
IndiGo,05/09/19,Kolkata,Bangalore,CCU ? BLR,22:15,10/05/21 0:50,2h 35m,1,No info,4804
IndiGo,03/21/19,Kolkata,Bangalore,CCU ? BLR,15:10,17:45,2h 35m,1,No info,4148
SpiceJet,04/24/19,Bangalore,New Delhi,BLR ? DEL,9:30,12:20,2h 50m,1,No check-in baggage included,3919
SpiceJet,03/09/19,Mumbai,Hyderabad,BOM ? HYD,22:45,10/03/21 0:10,1h 25m,1,No info,3603
Air Asia,04/18/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,1,No info,4282
Air India,05/21/19,New Delhi,Cochin,DEL ? COK,14:05,17:55,3h 50m,1,No info,6094
IndiGo,05/01/19,Mumbai,Hyderabad,BOM ? HYD,16:55,18:25,1h 30m,1,No info,3175
GoAir,04/12/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,6722
SpiceJet,06/24/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:30,2h 35m,1,No info,3873
Air India,04/03/19,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,1,No info,2575
Jet Airways,05/12/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,1,In-flight meal not included,4030
SpiceJet,05/03/19,Bangalore,New Delhi,BLR ? DEL,21:10,04/05/21 0:05,2h 55m,1,No info,4991
Jet Airways,06/09/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,In-flight meal not included,7229
SpiceJet,04/06/19,Kolkata,Bangalore,CCU ? BLR,14:55,17:25,2h 30m,1,No info,3873
Jet Airways,04/06/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,No info,7229
Jet Airways,04/15/19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,No info,7229
IndiGo,06/12/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:50,2h 35m,1,No info,4804
IndiGo,04/21/19,Bangalore,New Delhi,BLR ? DEL,23:30,22-04-21 2:20,2h 50m,1,No info,4591
IndiGo,04/03/19,Bangalore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,1,No info,3943
IndiGo,06/24/19,Bangalore,New Delhi,BLR ? DEL,18:15,21:20,3h 5m,1,No info,4823
SpiceJet,05/21/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:30,2h 35m,1,No info,3873
IndiGo,05/24/19,Kolkata,Bangalore,CCU ? BLR,15:30,18:05,2h 35m,1,No info,4804
IndiGo,06/01/19,Bangalore,New Delhi,BLR ? DEL,10:10,13:00,2h 50m,1,No info,3943
Air India,04/03/19,Bangalore,New Delhi,BLR ? DEL,6:10,8:55,2h 45m,1,No info,4441
Air India,04/01/19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4460
IndiGo,06/24/19,Mumbai,Hyderabad,BOM ? HYD,12:00,13:30,1h 30m,1,No info,2754
IndiGo,05/03/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,1,No info,4823
Air India,03/21/19,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,1,No info,2050
Jet Airways,05/06/19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,No info,7229
Vistara,04/24/19,New Delhi,Cochin,DEL ? COK,6:00,9:10,3h 10m,1,No info,6216
Air India,06/09/19,New Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,1,No info,8456
Air India,03/21/19,Kolkata,Bangalore,CCU ? BLR,14:15,16:45,2h 30m,1,No info,5170
SpiceJet,05/24/19,Bangalore,New Delhi,BLR ? DEL,21:10,25-05-21 0:05,2h 55m,1,No check-in baggage included,3919
IndiGo,04/03/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,1,No info,4823
IndiGo,05/18/19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,4823
SpiceJet,04/15/19,Bangalore,New Delhi,BLR ? DEL,21:10,16-04-21 0:05,2h 55m,1,No check-in baggage included,3919
Vistara,06/12/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No info,11982
IndiGo,06/27/19,Mumbai,Hyderabad,BOM ? HYD,16:55,18:25,1h 30m,1,No info,3175
SpiceJet,05/24/19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:15,1h 30m,1,No info,2017
IndiGo,05/12/19,Mumbai,Hyderabad,BOM ? HYD,2:35,4:05,1h 30m,1,No info,3175
Vistara,05/18/19,New Delhi,Cochin,DEL ? COK,6:00,9:10,3h 10m,1,No info,6741
IndiGo,05/18/19,Mumbai,Hyderabad,BOM ? HYD,16:55,18:25,1h 30m,1,No info,3838
Air India,06/18/19,New Delhi,Cochin,DEL ? COK,14:05,17:55,3h 50m,1,No info,5201
Air India,03/15/19,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,1,No info,3100
SpiceJet,05/27/19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,1,No check-in baggage included,3543
SpiceJet,05/03/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No check-in baggage included,3841
IndiGo,06/01/19,Chennai,Kolkata,MAA ? CCU,7:55,10:15,2h 20m,1,No info,3850
Air India,03/21/19,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,1,No info,3100
Vistara,05/18/19,Bangalore,New Delhi,BLR ? DEL,19:30,22:15,2h 45m,1,No info,4878
IndiGo,05/01/19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,1,No info,4077
Air India,03/09/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:50,2h 50m,1,No info,9481
GoAir,06/09/19,Bangalore,New Delhi,BLR ? DEL,7:45,10:40,2h 55m,1,No info,3898
Jet Airways,03/27/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:25,1h 30m,1,No info,5678
IndiGo,03/21/19,Mumbai,Hyderabad,BOM ? HYD,19:05,20:30,1h 25m,1,No info,2754
SpiceJet,03/15/19,Mumbai,Hyderabad,BOM ? HYD,22:45,16-03-21 0:10,1h 25m,1,No check-in baggage included,2647
GoAir,05/18/19,Bangalore,New Delhi,BLR ? DEL,7:45,10:40,2h 55m,1,No info,4239
Jet Airways,03/01/19,Bangalore,New Delhi,BLR ? DEL,19:55,22:35,2h 40m,1,No info,18308
Air Asia,04/09/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,1,No info,4282
SpiceJet,04/15/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No info,4423
SpiceJet,06/18/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No info,3625
IndiGo,03/15/19,Kolkata,Bangalore,CCU ? BLR,5:30,8:20,2h 50m,1,No info,4148
Vistara,04/24/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:35,2h 35m,1,No info,5613
Jet Airways,04/01/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:20,1h 25m,1,No info,5678
GoAir,06/24/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,3419
SpiceJet,03/15/19,Kolkata,Bangalore,CCU ? BLR,22:20,16-03-21 0:40,2h 20m,1,No info,3847
Jet Airways,05/27/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,No info,7229
IndiGo,06/18/19,Mumbai,Hyderabad,BOM ? HYD,20:05,21:40,1h 35m,1,No info,2227
SpiceJet,06/21/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No info,3971
SpiceJet,03/21/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:35,2h 40m,1,No info,4148
SpiceJet,05/21/19,Kolkata,Bangalore,CCU ? BLR,22:20,22-05-21 0:40,2h 20m,1,No check-in baggage included,3841
Jet Airways,04/12/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,In-flight meal not included,5198
Air Asia,04/24/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,1,No info,3383
Jet Airways,06/06/19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,1,In-flight meal not included,7202
IndiGo,04/03/19,New Delhi,Cochin,DEL ? COK,21:05,04/04/21 0:20,3h 15m,1,No info,5021
GoAir,05/03/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,4239
Vistara,03/01/19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,21520
IndiGo,03/03/19,New Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,1,No info,7673
IndiGo,06/18/19,Bangalore,New Delhi,BLR ? DEL,20:00,22:50,2h 50m,1,No info,4823
IndiGo,05/18/19,Kolkata,Bangalore,CCU ? BLR,15:30,18:05,2h 35m,1,No info,4804
Jet Airways,06/15/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,No info,8016
IndiGo,06/09/19,Mumbai,Hyderabad,BOM ? HYD,6:25,7:55,1h 30m,1,No info,4049
SpiceJet,05/12/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No info,3597
Jet Airways,05/01/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:20,1h 25m,1,No info,5678
Air Asia,04/01/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,1,No info,4282
IndiGo,06/21/19,Bangalore,New Delhi,BLR ? DEL,8:30,11:20,2h 50m,1,No info,4823
IndiGo,06/12/19,New Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,1,No info,5601
SpiceJet,06/09/19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:15,1h 30m,1,No info,2753
IndiGo,04/12/19,Kolkata,Bangalore,CCU ? BLR,9:35,12:20,2h 45m,1,No info,4174
IndiGo,03/24/19,Bangalore,New Delhi,BLR ? DEL,20:00,22:55,2h 55m,1,No info,6144
IndiGo,03/01/19,Bangalore,New Delhi,BLR ? DEL,22:20,02/03/21 1:10,2h 50m,1,No info,11934
Jet Airways,05/06/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,1,No info,7229
SpiceJet,05/15/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:30,2h 35m,1,No info,3873
SpiceJet,03/24/19,Bangalore,New Delhi,BLR ? DEL,9:35,12:30,2h 55m,1,No check-in baggage included,3873
Air India,03/12/19,Kolkata,Bangalore,CCU ? BLR,14:15,16:45,2h 30m,1,No info,5747
Air India,06/15/19,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,1,No info,3100
Jet Airways,05/18/19,Bangalore,New Delhi,BLR ? DEL,8:20,11:20,3h,1,No info,7229
IndiGo,03/01/19,Bangalore,New Delhi,BLR ? DEL,23:30,02/03/21 2:20,2h 50m,1,No info,10067
IndiGo,04/27/19,Kolkata,Bangalore,CCU ? BLR,15:30,18:05,2h 35m,1,No info,4804
Jet Airways,06/01/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:20,1h 25m,1,In-flight meal not included,4050
SpiceJet,06/01/19,Kolkata,Bangalore,CCU ? BLR,6:55,9:30,2h 35m,1,No check-in baggage included,3841
Vistara,03/24/19,Bangalore,New Delhi,BLR ? DEL,16:00,18:35,2h 35m,1,No info,5613
IndiGo,05/01/19,Bangalore,New Delhi,BLR ? DEL,0:30,3:25,2h 55m,1,No info,4284
Vistara,05/06/19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,1,No info,4668
Jet Airways,04/12/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,In-flight meal not included,5198
Jet Airways,05/01/19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,No info,7229
Jet Airways,04/01/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,No info,7229
Vistara,06/01/19,Bangalore,New Delhi,BLR ? DEL,21:00,23:50,2h 50m,1,No info,4668
GoAir,03/24/19,Bangalore,New Delhi,BLR ? DEL,11:40,14:35,2h 55m,1,No info,3898
Air Asia,06/12/19,Kolkata,Bangalore,CCU ? BLR,10:20,12:55,2h 35m,1,No info,3807
IndiGo,04/12/19,Kolkata,Bangalore,CCU ? BLR,14:25,16:55,2h 30m,1,No info,5224
IndiGo,04/18/19,Bangalore,New Delhi,BLR ? DEL,22:10,19-04-21 1:00,2h 50m,1,No info,4591
Air India,05/12/19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4880
Jet Airways,04/27/19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,No info,7229
Air India,04/27/19,New Delhi,Cochin,DEL ? COK,14:10,17:10,3h,1,No info,6094
IndiGo,05/06/19,Bangalore,New Delhi,BLR ? DEL,23:30,07/05/21 2:20,2h 50m,1,No info,4077
GoAir,05/18/19,Bangalore,New Delhi,BLR ? DEL,20:55,23:40,2h 45m,1,No info,4632
Jet Airways,03/09/19,Bangalore,New Delhi,BLR ? DEL,19:55,22:35,2h 40m,1,No info,7229
Jet Airways,06/09/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,In-flight meal not included,7229
IndiGo,05/27/19,Bangalore,New Delhi,BLR ? DEL,0:30,3:25,2h 55m,1,No info,3419
SpiceJet,06/24/19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,1,No check-in baggage included,3543
Air Asia,05/12/19,Bangalore,New Delhi,BLR ? DEL,11:10,13:55,2h 45m,1,No info,3383
Jet Airways,04/18/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,No info,7229
Jet Airways,05/15/19,Mumbai,Hyderabad,BOM ? HYD,2:55,4:20,1h 25m,1,No info,5678
IndiGo,06/12/19,Bangalore,New Delhi,BLR ? DEL,6:05,8:50,2h 45m,1,No info,3943
Jet Airways,06/01/19,Bangalore,New Delhi,BLR ? DEL,11:10,14:05,2h 55m,1,In-flight meal not included,7229
IndiGo,03/09/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:05,2h 55m,1,No info,7303
SpiceJet,04/03/19,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,1,No check-in baggage included,1965
Air India,04/03/19,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,1,No info,2050
SpiceJet,04/21/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No info,4491
Jet Airways,05/15/19,Bangalore,New Delhi,BLR ? DEL,17:45,20:45,3h,1,No info,7229
IndiGo,06/27/19,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,1,No info,3597
SpiceJet,05/01/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No info,4174
Jet Airways,06/12/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,In-flight meal not included,5769
IndiGo,05/01/19,Kolkata,Bangalore,CCU ? BLR,11:30,14:05,2h 35m,1,No info,5644
Jet Airways,06/03/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,In-flight meal not included,5769
Jet Airways,05/15/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,No info,7229
Jet Airways,05/21/19,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,1,In-flight meal not included,4995
SpiceJet,06/24/19,Kolkata,Bangalore,CCU ? BLR,17:10,19:40,2h 30m,1,No info,3873
Jet Airways,05/01/19,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,1,No info,8040
Air India,05/12/19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4667
Jet Airways,04/03/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,No info,5678
Jet Airways,06/27/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,No info,8016
SpiceJet,06/01/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No check-in baggage included,3543
Jet Airways,06/01/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,In-flight meal not included,3210
IndiGo,05/01/19,Mumbai,Hyderabad,BOM ? HYD,9:10,10:40,1h 30m,1,No info,4575
IndiGo,06/15/19,New Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,1,No info,5601
Vistara,04/18/19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,1,No info,5403
IndiGo,06/27/19,Kolkata,Bangalore,CCU ? BLR,14:25,16:55,2h 30m,1,No info,4804
Air Asia,05/24/19,Bangalore,New Delhi,BLR ? DEL,4:55,7:45,2h 50m,1,No info,3383
SpiceJet,03/06/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No info,7298
Jet Airways,04/03/19,Bangalore,New Delhi,BLR ? DEL,7:10,10:10,3h,1,In-flight meal not included,4544
IndiGo,06/24/19,Bangalore,New Delhi,BLR ? DEL,23:30,25-06-21 2:20,2h 50m,1,No info,3943
SpiceJet,03/09/19,Kolkata,Bangalore,CCU ? BLR,22:20,10/03/21 0:40,2h 20m,1,No info,4622
IndiGo,05/27/19,Bangalore,New Delhi,BLR ? DEL,13:00,15:50,2h 50m,1,No info,3943
Air Asia,06/06/19,Kolkata,Bangalore,CCU ? BLR,19:55,22:25,2h 30m,1,No info,4508
Vistara,05/18/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No info,11982
IndiGo,04/09/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4488
IndiGo,03/24/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,No info,4777
Jet Airways,03/27/19,Mumbai,Hyderabad,BOM ? HYD,15:50,17:20,1h 30m,1,In-flight meal not included,2071
Air India,04/18/19,Bangalore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,1,No info,5228
Air India,03/24/19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4405
Air India,06/06/19,Bangalore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,1,No info,6121
Air India,05/06/19,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,1,No info,3100
IndiGo,06/09/19,Bangalore,New Delhi,BLR ? DEL,0:25,3:15,2h 50m,1,No info,3943
